caso de prueba, tiempo
ServiceBlog insertar,4
ServiceMensaje insertar,2
ServiceGaleria insertar,2
ServiceProducto insertar,2
ServiceBlog listar,6
ServiceBlog insertar,1
ServiceGaleria listar,1
ServiceGaleria insertar,1
ServiceProducto listar,1
ServiceProducto insertar,0
ServiceMensaje listar,0
ServiceMensaje insertar,4
ServiceBlog listar,3
ServiceBlog insertar,1
ServiceMensaje listar,4
ServiceMensaje insertar,2
ServiceProducto listar,1
ServiceProducto insertar,1
ServiceBlog listar,1
ServiceBlog insertar,1
ServiceGaleria listar,1
ServiceGaleria insertar,0
ServiceMensaje listar,6
ServiceMensaje insertar,1
ServiceProducto listar,1
ServiceProducto insertar,1
ServiceBlog listar,1
ServiceBlog insertar,1
ServiceGaleria listar,2
ServiceGaleria insertar,0
ServiceMensaje listar,6
ServiceMensaje insertar,2
ServiceProducto listar,2
ServiceProducto insertar,2
ServiceBlog listar,2
ServiceBlog insertar,2
ServiceGaleria listar,2
ServiceGaleria insertar,1
ServiceProducto listar,6
ServiceProducto eliminar,0
ServiceProducto insertar,1
ServiceBlog listar,1
ServiceBlog eliminar,0
ServiceBlog insertar,1
ServiceGaleria listar,0
ServiceGaleria eliminar,1
ServiceGaleria insertar,1
ServiceMensaje listar,1
ServiceMensaje eliminar,0
ServiceMensaje insertar,1
ServiceProducto listar,4
ServiceProducto eliminar,0
ServiceProducto insertar,1
ServiceBlog listar,2
ServiceBlog eliminar,0
ServiceBlog insertar,1
ServiceGaleria listar,3
ServiceGaleria eliminar,0
ServiceGaleria insertar,1
ServiceMensaje listar,1
ServiceMensaje eliminar,0
ServiceMensaje insertar,1
ServiceProducto listar,3
ServiceProducto eliminar,0
ServiceProducto insertar,3
ServiceBlog listar,3
ServiceBlog eliminar,0
ServiceBlog insertar,3
ServiceGaleria listar,0
ServiceGaleria eliminar,0
ServiceGaleria insertar,1
ServiceMensaje listar,1
ServiceMensaje eliminar,0
ServiceMensaje insertar,0
